label,support,precision,recall,f1
BENIGN,10543,0.9906586148329873,0.9958266148155174,0.9932358923418949
DoS Hulk,1273,0.7847682119205298,0.7446975648075412,0.7642079806529625
DoS GoldenEye,192,0.34615384615384615,0.375,0.36
DoS slowloris,128,0.5671641791044776,0.59375,0.5801526717557252
DoS Slowhttptest,133,0.5573770491803278,0.5112781954887218,0.5333333333333333
DDoS,820,0.7728337236533958,0.8048780487804879,0.7885304659498208
PortScan,1068,0.9733455882352942,0.9915730337078652,0.9823747680890538
FTP-Patator,243,0.39194139194139194,0.4403292181069959,0.41472868217054265
SSH-Patator,162,0.32857142857142857,0.2839506172839506,0.304635761589404
Web Attack - Brute Force,139,0.3217391304347826,0.26618705035971224,0.29133858267716534
Web Attack - XSS,91,0.25316455696202533,0.21978021978021978,0.23529411764705882
Web Attack - SQL Injection,19,0.0,0.0,0.0
Bot,171,0.7453416149068323,0.7017543859649122,0.7228915662650602
Infiltration,14,0.5454545454545454,0.42857142857142855,0.48
Heartbleed,4,0.0,0.0,0.0
